Messages,Turns,Domain,Sector,Topic,User_Gender,Assistant_Gender,Instruction_ID,Language
"[{'content': 'হ্যালো', 'role': 'user'}, {'content': 'হ্যালো রোহান, আমি টেকসাপোর্ট থেকে রুক্মিণী বলছি। আপনার HP প্রিন্টারে সমস্যা হচ্ছে বলে শুনেছি, সেটা কি সঠিক?', 'role': 'assistant'}, {'content': 'হ্যাঁ, ঠিক বলেছেন। প্রিন্টারটি প্রিন্ট করছে না।', 'role': 'user'}, {'content': 'বুঝতে পারছি। প্রথমে প্রিন্টারের কেবলগুলি ঠিকমতো সংযুক্ত আছে কিনা তা পরীক্ষা করুন। সব কেবল সঠিকভাবে লাগানো আছে?', 'role': 'assistant'}, {'content': 'হ্যাঁ, সব কেবল ঠিক আছে। কিন্তু তবুও প্রিন্ট হচ্ছে না।', 'role': 'user'}, {'content': 'ঠিক আছে, তাহলে প্রিন্টারের পাওয়ার চেক করুন। প্রিন্টারটি অন আছে কিনা নিশ্চিত হোন।', 'role': 'assistant'}, {'content': 'পাওয়ার অন আছে, কিন্তু সমস্যা এখনও আছে।', 'role': 'user'}, {'content': 'বুঝতে পারছি। তাহলে আমরা সমস্যাটি আমাদের টেকনিক্যাল টিমের কাছে এস্কেলেট করব। আপনি চিন্তা করবেন না, আমরা যত দ্রুত সম্ভব সমাধান করে দেব।', 'role': 'assistant'}, {'content': 'ধন্যবাদ রুক্মিণী, আশা করি দ্রুত সমাধান হবে।', 'role': 'user'}, {'content': 'আপনাকে ধন্যবাদ রোহান। আমরা আপনার সমস্যার সমাধান করার জন্য সর্বোচ্চ চেষ্টা করব। যদি আর কোনো সাহায্য লাগে, অনুগ্রহ করে জানাবেন।', 'role': 'assistant'}]",5,support,tech support,Tech Support (Hardware Issue Resolution),Male,Female,0e83bcf6-6eef-47a1-823b-767d0a254852,Bengali
"[{'content': 'হ্যালো', 'role': 'user'}, {'content': 'হ্যালো রোহান, আমি টেকসাপোর্ট থেকে রুক্মিণী বলছি। আপনার HP প্রিন্টারে সমস্যা হচ্ছে বলে শুনেছি, সেটা কি সঠিক?', 'role': 'assistant'}, {'content': 'হ্যাঁ, প্রিন্টারটি কাজ করছে না।', 'role': 'user'}, {'content': 'বুঝতে পারছি। প্রথমে প্রিন্টারের কাগজ ট্রে চেক করুন, কাগজ আছে কিনা এবং সেটি সঠিকভাবে বসানো আছে কিনা।', 'role': 'assistant'}, {'content': 'কাগজ আছে এবং সঠিকভাবে বসানো আছে।', 'role': 'user'}, {'content': 'ঠিক আছে, তাহলে প্রিন্টারের কালি কার্টিজ চেক করুন। কালি শেষ হয়ে গেলে প্রিন্টার কাজ করবে না।', 'role': 'assistant'}, {'content': 'কালি কার্টিজে কালি আছে, কিন্তু তবুও প্রিন্ট হচ্ছে না।', 'role': 'user'}, {'content': 'বুঝতে পারছি। তাহলে আমরা সমস্যাটি আমাদের টেকনিক্যাল টিমের কাছে এস্কেলেট করব। আপনি চিন্তা করবেন না, আমরা যত দ্রুত সম্ভব সমাধান করে দেব।', 'role': 'assistant'}, {'content': 'ধন্যবাদ রুক্মিণী, আশা করি দ্রুত সমাধান হবে।', 'role': 'user'}, {'content': 'আপনাকে ধন্যবাদ রোহান। আমরা আপনার সমস্যার সমাধান করার জন্য সর্বোচ্চ চেষ্টা করব। যদি আর কোনো সাহায্য লাগে, অনুগ্রহ করে জানাবেন।', 'role': 'assistant'}]",5,support,tech support,Tech Support (Hardware Issue Resolution),Male,Female,0e83bcf6-6eef-47a1-823b-767d0a254852,Bengali
"[{'content': 'হ্যালো', 'role': 'user'}, {'content': 'হ্যালো রোহান, আমি টেকসাপোর্ট থেকে রুক্মিণী বলছি। আপনার HP প্রিন্টারে সমস্যা হচ্ছে বলে শুনেছি, সেটা কি সঠিক?', 'role': 'assistant'}, {'content': 'হ্যাঁ, প্রিন্টারটি প্রিন্ট করছে না।', 'role': 'user'}, {'content': 'বুঝতে পারছি। প্রথমে প্রিন্টারের কাগজ ট্রে চেক করুন, কাগজ আছে কিনা এবং সেটি সঠিকভাবে বসানো আছে কিনা।', 'role': 'assistant'}, {'content': 'কাগজ আছে এবং সঠিকভাবে বসানো আছে।', 'role': 'user'}, {'content': 'ঠিক আছে, তাহলে প্রিন্টারের কালি কার্টিজ চেক করুন। কালি শেষ হয়ে গেলে প্রিন্টার কাজ করবে না।', 'role': 'assistant'}, {'content': 'কালি কার্টিজে কালি আছে, কিন্তু তবুও প্রিন্ট হচ্ছে না।', 'role': 'user'}, {'content': 'বুঝতে পারছি। তাহলে আমরা সমস্যাটি আমাদের টেকনিক্যাল টিমের কাছে এস্কেলেট করব। আপনি চিন্তা করবেন না, আমরা যত দ্রুত সম্ভব সমাধান করে দেব।', 'role': 'assistant'}, {'content': 'ধন্যবাদ রুক্মিণী, আশা করি দ্রুত সমাধান হবে।', 'role': 'user'}, {'content': 'আপনাকে ধন্যবাদ রোহান। আমরা আপনার সমস্যার সমাধান করার জন্য সর্বোচ্চ চেষ্টা করব। যদি আর কোনো সাহায্য লাগে, অনুগ্রহ করে জানাবেন।', 'role': 'assistant'}]",5,support,tech support,Tech Support (Hardware Issue Resolution),Male,Female,0e83bcf6-6eef-47a1-823b-767d0a254852,Bengali
"[{'content': 'হ্যালো', 'role': 'user'}, {'content': 'নমস্কার আর্যন, আমি ভেদিকা বলছি, লার্নঅনলাইন থেকে। আপনার সাথে কথা বলে ভালো লাগলো। আপনি কোর্স কন্টেন্ট অ্যাক্সেস করতে সমস্যা হচ্ছে বলে শুনেছি, আমি আপনাকে সাহায্য করতে পারি।', 'role': 'assistant'}, {'content': 'হ্যাঁ, ঠিক বলেছেন। আমি আমার ল্যাপটপে লগইন করেছি, কিন্তু কোর্স কন্টেন্ট দেখতে পাচ্ছি না।', 'role': 'user'}, {'content': 'বুঝতে পারছি। প্রথমে, আপনার ব্রাউজারটি আপডেট আছে কিনা তা চেক করুন। তারপর আবার লগইন করে দেখুন।', 'role': 'assistant'}, {'content': 'ঠিক আছে, আমি ব্রাউজার আপডেট করছি। এক মিনিট অপেক্ষা করুন।', 'role': 'user'}, {'content': 'নিশ্চয়ই। আমি আপনার সাথে আছি। আপডেট হয়ে গেলে আবার চেষ্টা করুন।', 'role': 'assistant'}, {'content': 'আপডেট হয়ে গেছে, কিন্তু এখনও সমস্যা হচ্ছে।', 'role': 'user'}, {'content': 'সমস্যা হচ্ছে দেখে দুঃখিত। আপনি আমাদের লাইভ চ্যাট সাপোর্টে যোগাযোগ করতে পারেন। তারা আপনাকে আরও সাহায্য করতে পারবে।', 'role': 'assistant'}, {'content': 'ঠিক আছে, আমি লাইভ চ্যাটে যোগাযোগ করব। ধন্যবাদ ভেদিকা।', 'role': 'user'}, {'content': 'আপনাকে সাহায্য করতে পেরে ভালো লাগলো। যদি আর কোনো সাহায্যের প্রয়োজন হয়, অনুগ্রহ করে জানাবেন। আপনার সমস্যার সমাধান হোক, এটাই আমাদের কামনা।', 'role': 'assistant'}]",5,finance,digital payments,Electronic Payment Processing (Transaction Dispute Resolution),Male,"Female</assistant<|end_header_id|>

<DOMAIN>education</DOMAIN>
<SECTOR>online learning</SECTOR>
<TOPIC>Online Learning Platform (Technical Support)</TOPIC>
<USER>Male</USER>
<ASSISTANT>Female",3a9c1887-f8b2-4605-8b2d-14ce064131ec,Bengali
"[{'content': 'হ্যালো', 'role': 'user'}, {'content': 'নমস্কার আর্যন, আমি ভেদিকা, লার্নঅনলাইন থেকে। শুনেছি আপনি কোর্স কন্টেন্ট অ্যাক্সেস করতে সমস্যা হচ্ছেন। আমি আপনাকে সাহায্য করতে পারি।', 'role': 'assistant'}, {'content': 'হ্যাঁ, আমি আমার ল্যাপটপে লগইন করেছি, কিন্তু কোর্স কন্টেন্ট লোড হচ্ছে না।', 'role': 'user'}, {'content': 'বুঝতে পারছি। প্রথমে, আপনার ইন্টারনেট কানেকশন চেক করুন। তারপর ব্রাউজার ক্যাশে ক্লিয়ার করে আবার চেষ্টা করুন।', 'role': 'assistant'}, {'content': 'ইন্টারনেট ঠিক আছে, আমি ব্রাউজার ক্যাশে ক্লিয়ার করছি। এক মিনিট অপেক্ষা করুন।', 'role': 'user'}, {'content': 'নিশ্চয়ই। আমি আপনার সাথে আছি। ক্যাশে ক্লিয়ার হয়ে গেলে আবার চেষ্টা করুন।', 'role': 'assistant'}, {'content': 'ক্যাশে ক্লিয়ার হয়ে গেছে, কিন্তু এখনও সমস্যা হচ্ছে।', 'role': 'user'}, {'content': 'সমস্যা হচ্ছে দেখে দুঃখিত। আপনি আমাদের মোবাইল অ্যাপ ব্যবহার করে চেষ্টা করতে পারেন। অনেক সময় এটি সাহায্য করে।', 'role': 'assistant'}, {'content': 'ঠিক আছে, আমি মোবাইল অ্যাপে চেষ্টা করব। ধন্যবাদ ভেদিকা।', 'role': 'user'}, {'content': 'আপনাকে সাহায্য করতে পেরে ভালো লাগলো। যদি আর কোনো সাহায্যের প্রয়োজন হয়, অনুগ্রহ করে জানাবেন। আপনার সমস্যার সমাধান হোক, এটাই আমাদের কামনা।', 'role': 'assistant'}]",5,finance,digital payments,Electronic Payment Processing (Transaction Dispute Resolution),Male,"Female</assistant<|end_header_id|>

<DOMAIN>education</DOMAIN>
<SECTOR>online learning</SECTOR>
<TOPIC>Online Learning Platform (Technical Support)</TOPIC>
<USER>Male</USER>
<ASSISTANT>Female",3a9c1887-f8b2-4605-8b2d-14ce064131ec,Bengali
"[{'content': 'হ্যালো', 'role': 'user'}, {'content': 'নমস্কার আর্যন, আমি ভেদিকা, লার্নঅনলাইন থেকে। শুনেছি আপনি কোর্স কন্টেন্ট অ্যাক্সেস করতে সমস্যা হচ্ছেন। আমি আপনাকে সাহায্য করতে পারি।', 'role': 'assistant'}, {'content': 'হ্যাঁ, আমি আমার ল্যাপটপে লগইন করেছি, কিন্তু কোর্স কন্টেন্ট দেখতে পাচ্ছি না।', 'role': 'user'}, {'content': 'বুঝতে পারছি। প্রথমে, আপনার ব্রাউজারটি আপডেট আছে কিনা তা চেক করুন। তারপর আবার লগইন করে দেখুন।', 'role': 'assistant'}, {'content': 'ঠিক আছে, আমি ব্রাউজার আপডেট করছি। এক মিনিট অপেক্ষা করুন।', 'role': 'user'}, {'content': 'নিশ্চয়ই। আমি আপনার সাথে আছি। আপডেট হয়ে গেলে আবার চেষ্টা করুন।', 'role': 'assistant'}, {'content': 'আপডেট হয়ে গেছে, কিন্তু এখনও সমস্যা হচ্ছে।', 'role': 'user'}, {'content': 'সমস্যা হচ্ছে দেখে দুঃখিত। আপনি আমাদের লাইভ চ্যাট সাপোর্টে যোগাযোগ করতে পারেন। তারা আপনাকে আরও সাহায্য করতে পারবে।', 'role': 'assistant'}, {'content': 'ঠিক আছে, আমি লাইভ চ্যাটে যোগাযোগ করব। ধন্যবাদ ভেদিকা।', 'role': 'user'}, {'content': 'আপনাকে সাহায্য করতে পেরে ভালো লাগলো। যদি আর কোনো সাহায্যের প্রয়োজন হয়, অনুগ্রহ করে জানাবেন। আপনার সমস্যার সমাধান হোক, এটাই আমাদের কামনা।', 'role': 'assistant'}]",5,finance,digital payments,Electronic Payment Processing (Transaction Dispute Resolution),Male,"Female</assistant<|end_header_id|>

<DOMAIN>education</DOMAIN>
<SECTOR>online learning</SECTOR>
<TOPIC>Online Learning Platform (Technical Support)</TOPIC>
<USER>Male</USER>
<ASSISTANT>Female",3a9c1887-f8b2-4605-8b2d-14ce064131ec,Bengali
"[{'content': 'হ্যালো', 'role': 'user'}, {'content': 'হ্যালো দৃষ্টি, আমি আরব, অটোড্রাইভ মোটর্সের সেলস ম্যানেজার। আপনি কেমন আছেন?', 'role': 'assistant'}, {'content': 'হ্যালো আরব, আমি ভালো আছি, ধন্যবাদ। আপনি কীভাবে সাহায্য করতে পারেন?', 'role': 'user'}, {'content': 'আমি আপনাকে আমাদের নতুন SUV মডেলের দাম এবং অফার সম্পর্কে জানাতে পারি। আপনি কি এই মডেলটি দেখেছেন?', 'role': 'assistant'}, {'content': 'হ্যাঁ, আমি এই মডেলটি দেখেছি। দামটা কেমন?', 'role': 'user'}, {'content': 'এই মডেলটির মূল্য ১৫ লক্ষ টাকা। তবে আমরা আপনাকে বিশেষ ছাড় দিতে পারি। আপনি কি আপনার বাজেট সম্পর্কে বলবেন?', 'role': 'assistant'}, {'content': 'আমার বাজেট ১৩ লক্ষ টাকার মধ্যে। আপনি কি এই রেঞ্জে কিছু করতে পারেন?', 'role': 'user'}, {'content': 'আমি দেখছি কী করা যায়। আমরা আপনাকে ১৪ লক্ষ টাকায় দিতে পারি এবং সাথে কিছু এক্সেসরিজ ফ্রি দিতে পারি। আপনি কি এতে আগ্রহী?', 'role': 'assistant'}, {'content': 'হ্যাঁ, এটা ভালো শোনাচ্ছে। আপনি কি ডেলিভারির সময় সম্পর্কে বলতে পারেন?', 'role': 'user'}, {'content': 'ডেলিভারি সাধারণত ২ সপ্তাহের মধ্যে হয়ে থাকে। আপনি যদি আজ অর্ডার করেন, তাহলে আমরা তাড়াতাড়ি ডেলিভারি দিতে পারি।', 'role': 'assistant'}, {'content': 'ঠিক আছে, আমি ভাবছি। আপনি কি আমাকে কিছু সময় দিতে পারেন?', 'role': 'user'}, {'content': 'অবশ্যই, দৃষ্টি। আপনি যখন সিদ্ধান্ত নেবেন, আমাকে জানাবেন। আমি আপনার জন্য সবচেয়ে ভালো ডিল নিশ্চিত করব।', 'role': 'assistant'}]",6,sales,automobile,Car Dealership (Price Negotiation),Male,Male,8f932022-2b7d-49d5-9352-92d3583ce276,Bengali
"[{'content': 'হ্যালো', 'role': 'user'}, {'content': 'হ্যালো দৃষ্টি, আমি আরব, অটোড্রাইভ মোটর্স থেকে। আপনি কেমন আছেন?', 'role': 'assistant'}, {'content': 'হ্যালো আরব, আমি ভালো আছি। আপনি কীভাবে সাহায্য করতে পারেন?', 'role': 'user'}, {'content': 'আমি আপনাকে আমাদের নতুন SUV মডেলের দাম এবং অফার সম্পর্কে জানাতে পারি। আপনি কি এই মডেলটি দেখেছেন?', 'role': 'assistant'}, {'content': 'হ্যাঁ, আমি এই মডেলটি দেখেছি। দামটা কেমন?', 'role': 'user'}, {'content': 'এই মডেলটির মূল্য ১৬ লক্ষ টাকা। তবে আমরা আপনাকে বিশেষ ছাড় দিতে পারি। আপনি কি আপনার বাজেট সম্পর্কে বলবেন?', 'role': 'assistant'}, {'content': 'আমার বাজেট ১৪ লক্ষ টাকার মধ্যে। আপনি কি এই রেঞ্জে কিছু করতে পারেন?', 'role': 'user'}, {'content': 'আমি দেখছি কী করা যায়। আমরা আপনাকে ১৫ লক্ষ টাকায় দিতে পারি এবং সাথে কিছু এক্সেসরিজ ফ্রি দিতে পারি। আপনি কি এতে আগ্রহী?', 'role': 'assistant'}, {'content': 'হ্যাঁ, এটা ভালো শোনাচ্ছে। আপনি কি ডেলিভারির সময় সম্পর্কে বলতে পারেন?', 'role': 'user'}, {'content': 'ডেলিভারি সাধারণত ২ সপ্তাহের মধ্যে হয়ে থাকে। আপনি যদি আজ অর্ডার করেন, তাহলে আমরা তাড়াতাড়ি ডেলিভারি দিতে পারি।', 'role': 'assistant'}, {'content': 'ঠিক আছে, আমি ভাবছি। আপনি কি আমাকে কিছু সময় দিতে পারেন?', 'role': 'user'}, {'content': 'অবশ্যই, দৃষ্টি। আপনি যখন সিদ্ধান্ত নেবেন, আমাকে জানাবেন। আমি আপনার জন্য সবচেয়ে ভালো ডিল নিশ্চিত করব।', 'role': 'assistant'}]",6,sales,automobile,Car Dealership (Price Negotiation),Male,Male,8f932022-2b7d-49d5-9352-92d3583ce276,Bengali
"[{'content': 'হ্যালো', 'role': 'user'}, {'content': 'হ্যালো দৃষ্টি, আমি আরব, অটোড্রাইভ মোটর্স থেকে। আপনি কেমন আছেন?', 'role': 'assistant'}, {'content': 'হ্যালো আরব, আমি ভালো আছি। আপনি কীভাবে সাহায্য করতে পারেন?', 'role': 'user'}, {'content': 'আমি আপনাকে আমাদের নতুন SUV মডেলের দাম এবং অফার সম্পর্কে জানাতে পারি। আপনি কি এই মডেলটি দেখেছেন?', 'role': 'assistant'}, {'content': 'হ্যাঁ, আমি এই মডেলটি দেখেছি। দামটা কেমন?', 'role': 'user'}, {'content': 'এই মডেলটির মূল্য ১৭ লক্ষ টাকা। তবে আমরা আপনাকে বিশেষ ছাড় দিতে পারি। আপনি কি আপনার বাজেট সম্পর্কে বলবেন?', 'role': 'assistant'}, {'content': 'আমার বাজেট ১৫ লক্ষ টাকার মধ্যে। আপনি কি এই রেঞ্জে কিছু করতে পারেন?', 'role': 'user'}, {'content': 'আমি দেখছি কী করা যায়। আমরা আপনাকে ১৬ লক্ষ টাকায় দিতে পারি এবং সাথে কিছু এক্সেসরিজ ফ্রি দিতে পারি। আপনি কি এতে আগ্রহী?', 'role': 'assistant'}, {'content': 'হ্যাঁ, এটা ভালো শোনাচ্ছে। আপনি কি ডেলিভারির সময় সম্পর্কে বলতে পারেন?', 'role': 'user'}, {'content': 'ডেলিভারি সাধারণত ২ সপ্তাহের মধ্যে হয়ে থাকে। আপনি যদি আজ অর্ডার করেন, তাহলে আমরা তাড়াতাড়ি ডেলিভারি দিতে পারি।', 'role': 'assistant'}, {'content': 'ঠিক আছে, আমি ভাবছি। আপনি কি আমাকে কিছু সময় দিতে পারেন?', 'role': 'user'}, {'content': 'অবশ্যই, দৃষ্টি। আপনি যখন সিদ্ধান্ত নেবেন, আমাকে জানাবেন। আমি আপনার জন্য সবচেয়ে ভালো ডিল নিশ্চিত করব।', 'role': 'assistant'}]",6,sales,automobile,Car Dealership (Price Negotiation),Male,Male,8f932022-2b7d-49d5-9352-92d3583ce276,Bengali
"[{'content': 'নমস্কার', 'role': 'user'}, {'content': 'নমস্কার অর্জুন জি, আমি সানা বলছি, অটোড্রাইভ মোটরস থেকে। আপনি কীভাবে আছেন?', 'role': 'assistant'}, {'content': 'আমি ভালো আছি, ধন্যবাদ। আপনি কীভাবে সাহায্য করতে পারেন?', 'role': 'user'}, {'content': 'অর্জুন জি, আমি জানতে চাইছি আপনি কোন ধরনের গাড়ি খুঁজছেন? সেডান মডেলের প্রতি আপনার আগ্রহ আছে বলে শুনেছি।', 'role': 'assistant'}, {'content': 'হ্যাঁ, আমি সেডান মডেলের গাড়ি খুঁজছি। আপনার কাছে কোন মডেল আছে?', 'role': 'user'}, {'content': 'অর্জুন জি, আমাদের নতুন মডেল এক্সফ্যাক্টর আপনার জন্য উপযুক্ত হতে পারে। এটি সেমি-অটোমেটিক ট্রান্সমিশন এবং উন্নত নিরাপত্তা সুবিধা সহ আসে।', 'role': 'assistant'}, {'content': 'এটি কেমন দেখতে? এবং এর মূল্য কত?', 'role': 'user'}, {'content': 'এক্সফ্যাক্টর একটি আধুনিক ডিজাইনের গাড়ি, যা আপনার শহরের রাস্তায় খুব ভালো মানাবে। এর মূল্য ১২ লক্ষ টাকা থেকে শুরু হয়। আপনি কি একটি টেস্ট ড্রাইভের জন্য সময় নির্ধারণ করতে চান?', 'role': 'assistant'}, {'content': 'হ্যাঁ, আমি টেস্ট ড্রাইভ করতে চাই। আপনি কখন সময় দিতে পারেন?', 'role': 'user'}, {'content': 'আমরা শনিবার সকাল ১০টায় আপনার জন্য টেস্ট ড্রাইভের ব্যবস্থা করতে পারি। আপনি কি এই সময়ে উপলব্ধ আছেন?', 'role': 'assistant'}, {'content': 'হ্যাঁ, এই সময় ঠিক আছে। আমি শনিবার সকাল ১০টায় আসব।', 'role': 'user'}, {'content': 'অসংখ্য ধন্যবাদ অর্জুন জি, আমরা আপনার জন্য অপেক্ষা করব। যদি আপনার আর কোনো প্রশ্ন থাকে, অনুগ্রহ করে জানাবেন।', 'role': 'assistant'}]",6,sales,automobile,Car Dealership (New Car Enquiry),Male,Female,b7c5e751-1b9e-4f20-90e4-43a231579d0c,Bengali
